date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:05:52	223048/223048	---MCZ	200	added ('OK')	text/html	etag:%222ilv5u6yvo4s2p%22	https://cashkaro.com/stores/birthday-songs-with-names-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/birthday-songs-with-names-coupons.html	(from https://cashkaro.com/stores)
19:05:52	235085/235085	---MCZ	200	added ('OK')	text/html	etag:%22obavp7hq3f51am%22	https://cashkaro.com/stores/biryani-blues-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/biryani-blues-coupons.html	(from https://cashkaro.com/stores)
19:05:52	234370/234370	---MCZ	200	added ('OK')	text/html	etag:%223kh2a8s77b50qr%22	https://cashkaro.com/stores/bisleri-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/bisleri-coupons.html	(from https://cashkaro.com/stores)
19:05:52	258701/258701	---MCZ	200	added ('OK')	text/html	etag:%22txi9w6zpju5jbm%22	https://cashkaro.com/stores/bitdroplet-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/bitdroplet-coupons.html	(from https://cashkaro.com/stores)
19:05:53	257729/257729	---MCZ	200	added ('OK')	text/html	etag:%223b3jassih45ikm%22	https://cashkaro.com/stores/bitbns-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/bitbns-coupons.html	(from https://cashkaro.com/stores)
19:05:53	247500/247500	---MCZ	200	added ('OK')	text/html	etag:%22mafj1hrfh5atz%22	https://cashkaro.com/stores/blablacar-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/blablacar-coupons.html	(from https://cashkaro.com/stores)
19:05:53	242690/242690	---MCZ	200	added ('OK')	text/html	etag:%22c5u5d5cd83576h%22	https://cashkaro.com/stores/black-shark-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/black-shark-coupons.html	(from https://cashkaro.com/stores)
19:05:54	272237/272237	---MCZ	200	added ('OK')	text/html	etag:%2216fzfkrm0s45txy%22	https://cashkaro.com/stores/blackberrys-offers	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/blackberrys-offers.html	(from https://cashkaro.com/stores)
19:05:55	253624/253624	---MCZ	200	added ('OK')	text/html	etag:%22qopbobotwj5fkv%22	https://cashkaro.com/stores/blinctrip-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/blinctrip-coupons.html	(from https://cashkaro.com/stores)
19:05:56	254284/254284	---MCZ	200	added ('OK')	text/html	etag:%229sgfb85xcr5g3d%22	https://cashkaro.com/stores/blinglane-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/blinglane-coupons.html	(from https://cashkaro.com/stores)
19:05:56	193911/193911	---MCZ	200	added ('OK')	text/html	etag:%2283oxh0wd9745gy%22	https://cashkaro.com/stores/blue-tea-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/blue-tea-coupons.html	(from https://cashkaro.com/stores)
19:05:56	224660/224660	---MCZ	200	added ('OK')	text/html	etag:%22vunmnlyk984t9h%22	https://cashkaro.com/stores/blue-tokai-coffee-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/blue-tokai-coffee-coupons.html	(from https://cashkaro.com/stores)
19:05:57	231842/231842	---MCZ	200	added ('OK')	text/html	etag:%2210zv0nq5b764yut%22	https://cashkaro.com/stores/bluehost-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/bluehost-coupons.html	(from https://cashkaro.com/stores)
19:05:57	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2009%20Apr%202024%2013:35:57%20GMT	https://cashkaro.com/stores/bluestone	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/bluestone	(from https://cashkaro.com/stores)
19:05:57	235967/235967	---MCZ	200	added ('OK')	text/html	etag:%22w7q3g94st451xu%22	https://cashkaro.com/stores/boddess-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/boddess-coupons.html	(from https://cashkaro.com/stores)
19:05:58	279686/279686	---MCZ	200	added ('OK')	text/html	etag:%22qxayp1nty15zlj%22	https://cashkaro.com/stores/body-cupid-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/body-cupid-coupons.html	(from https://cashkaro.com/stores)
19:05:58	247343/247343	---MCZ	200	added ('OK')	text/html	etag:%22l6le33lkf5apm%22	https://cashkaro.com/stores/boho-botanist-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/boho-botanist-coupons.html	(from https://cashkaro.com/stores)
19:05:58	255642/255642	---MCZ	200	added ('OK')	text/html	etag:%2217s0h0y1zzr5h3n%22	https://cashkaro.com/stores/boldcare-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/boldcare-coupons.html	(from https://cashkaro.com/stores)
19:05:59	248332/248332	---MCZ	200	added ('OK')	text/html	etag:%22jxcpgg2n985bhd%22	https://cashkaro.com/stores/boltt-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/boltt-coupons.html	(from https://cashkaro.com/stores)
19:05:59	258292/258292	---MCZ	200	added ('OK')	text/html	etag:%22q57ajqoe4x5j5v%22	https://cashkaro.com/stores/bombae-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/bombae-coupons.html	(from https://cashkaro.com/stores)
19:05:59	279629/279629	---MCZ	200	added ('OK')	text/html	etag:%22ji3p07cdt85zm6%22	https://cashkaro.com/stores/bombay-shaving-company-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/bombay-shaving-company-coupons.html	(from https://cashkaro.com/stores)
19:05:59	249122/249122	---MCZ	200	added ('OK')	text/html	etag:%22jyv5p084vd5c3r%22	https://cashkaro.com/stores/bon-organik-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/bon-organik-coupons.html	(from https://cashkaro.com/stores)
19:06:00	255539/255539	---MCZ	200	added ('OK')	text/html	etag:%22nkte8gfury5h0k%22	https://cashkaro.com/stores/bonkers-corner-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/bonkers-corner-coupons.html	(from https://cashkaro.com/stores)
19:06:00	227376/227376	---MCZ	200	added ('OK')	text/html	etag:%22106l1bm3awg4vd5%22	https://cashkaro.com/stores/bookeventz-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/bookeventz-coupons.html	(from https://cashkaro.com/stores)
19:06:01	217116/217116	---MCZ	200	added ('OK')	text/html	etag:%22oylrldeyhc4nhp%22	https://cashkaro.com/stores/bookmybai-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/bookmybai-coupons.html	(from https://cashkaro.com/stores)
19:06:01	241862/241862	---MCZ	200	added ('OK')	text/html	etag:%2269vt9ymef156hd%22	https://cashkaro.com/stores/bookmybus-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/bookmybus-coupons.html	(from https://cashkaro.com/stores)
19:06:01	248694/248694	---MCZ	200	added ('OK')	text/html	etag:%222nmvji26l05brd%22	https://cashkaro.com/stores/bookmycab-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/bookmycab-coupons.html	(from https://cashkaro.com/stores)
19:06:02	238090/238090	---MCZ	200	added ('OK')	text/html	etag:%22wy0t5m9tlf53o1%22	https://cashkaro.com/stores/bookmyshow	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/bookmyshow.html	(from https://cashkaro.com/stores)
19:06:02	192310/192310	---MCZ	200	added ('OK')	text/html	etag:%22a022xniin144az%22	https://cashkaro.com/stores/borngood-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/borngood-coupons.html	(from https://cashkaro.com/stores)
19:06:03	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2009%20Apr%202024%2013:36:03%20GMT	https://cashkaro.com/stores/borosil-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/borosil-coupons	(from https://cashkaro.com/stores)
19:06:03	270275/270275	---MCZ	200	added ('OK')	text/html	etag:%22olog0q8kt45sfw%22	https://cashkaro.com/stores/boult-audio-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/boult-audio-coupons.html	(from https://cashkaro.com/stores)
19:06:04	263904/263904	---MCZ	200	added ('OK')	text/html	etag:%22c02335w18a5nix%22	https://cashkaro.com/stores/boutiquefeel-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/boutiquefeel-coupons.html	(from https://cashkaro.com/stores)
19:06:05	258489/258489	---MCZ	200	added ('OK')	text/html	etag:%22dl59td2r5z5jau%22	https://cashkaro.com/stores/box8-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/box8-coupons.html	(from https://cashkaro.com/stores)
19:06:05	193376/193376	---MCZ	200	added ('OK')	text/html	etag:%22ueianf30x6453t%22	https://cashkaro.com/stores/break-bounce-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/break-bounce-coupons.html	(from https://cashkaro.com/stores)
19:06:05	231780/231780	---MCZ	200	added ('OK')	text/html	etag:%224ugow8pa4b4yqh%22	https://cashkaro.com/stores/brekkie-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/brekkie-coupons.html	(from https://cashkaro.com/stores)
19:06:06	242366/242366	---MCZ	200	added ('OK')	text/html	etag:%221849m63fcqm56v9%22	https://cashkaro.com/stores/brillare-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/brillare-coupons.html	(from https://cashkaro.com/stores)
19:06:06	246891/246891	---MCZ	200	added ('OK')	text/html	etag:%22fk0nys0qyu5ada%22	https://cashkaro.com/stores/britishairways-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/britishairways-coupons.html	(from https://cashkaro.com/stores)
19:06:07	195111/195111	---MCZ	200	added ('OK')	text/html	etag:%22ytvi0wz3vs46ee%22	https://cashkaro.com/stores/britishcouncil-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/britishcouncil-coupons.html	(from https://cashkaro.com/stores)
19:06:07	218064/218064	---MCZ	200	added ('OK')	text/html	etag:%221plgh2heo94o8j%22	https://cashkaro.com/stores/bro4u-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/bro4u-coupons.html	(from https://cashkaro.com/stores)
19:06:07	203706/203706	---MCZ	200	added ('OK')	text/html	etag:%227nw8i2walu4d2f%22	https://cashkaro.com/stores/brooks-brothers-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/brooks-brothers-coupons.html	(from https://cashkaro.com/stores)
19:06:08	195130/195130	---MCZ	200	added ('OK')	text/html	etag:%22r46787cowb46ed%22	https://cashkaro.com/stores/buds-and-berries-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/buds-and-berries-coupons.html	(from https://cashkaro.com/stores)
19:06:08	252756/252756	---MCZ	200	added ('OK')	text/html	etag:%22elz3i066775ex5%22	https://cashkaro.com/stores/bummer-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/bummer-coupons.html	(from https://cashkaro.com/stores)
19:06:09	243819/243819	---MCZ	200	added ('OK')	text/html	etag:%222unz9yebiq5810%22	https://cashkaro.com/stores/burger-king-offers	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/burger-king-offers.html	(from https://cashkaro.com/stores)
19:06:10	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2009%20Apr%202024%2013:36:10%20GMT	https://cashkaro.com/stores/business-standard-epaper-offers	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/business-standard-epaper-offers	(from https://cashkaro.com/stores)
19:06:11	241046/241046	---MCZ	200	added ('OK')	text/html	etag:%22sjdbmiq5a955ur%22	https://cashkaro.com/stores/buy91-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/buy91-coupons.html	(from https://cashkaro.com/stores)
19:06:11	240709/240709	---MCZ	200	added ('OK')	text/html	etag:%22yd5b310n8v55ni%22	https://cashkaro.com/stores/buytestseries-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/buytestseries-coupons.html	(from https://cashkaro.com/stores)
19:06:12	235175/235175	---MCZ	200	added ('OK')	text/html	etag:%22im3efm7fnd51fc%22	https://cashkaro.com/stores/gradeup-coupons	C:/My%20Web%20Sites/Cashkaro%20Clone/cashkaro.com/stores/gradeup-coupons.html	(from https://cashkaro.com/stores)
